canonical_title,authors,year,primary_key,official_course_relevance,source_url,arxiv_abs_url,arxiv_eprint_url,official_pdf_url,local_folder,merged_tex_path,status
[MiniMax M2.5],Minimax,2026,minimax_m2_5_2026,2026 alignment-reasoning-rl,https://www.minimax.io/news/minimax-m25,,,,papers/normalized/[minimax_m2.5],,pdf_only
[Xiaomi MIMO v2],Xiaomi,2026,xiaomi_mimo_v2_2026,2026 alignment-reasoning-rl,https://mimo.xiaomi.com/mimo-v2-pro,,,,papers/normalized/[xiaomi_mimo_v2],,pdf_only
Alpaca,,2023,alpaca,2026 alignment-reasoning-rl,https://crfm.stanford.edu/2023/03/13/alpaca.html,,,,papers/normalized/alpaca,,pdf_only
Arcee Trinity,,,arcee_trinity_2026,2026 alignment-reasoning-rl,https://arxiv.org/abs/2602.17004,https://arxiv.org/abs/2602.17004,https://arxiv.org/e-print/2602.17004,https://arxiv.org/e-print/2602.17004,papers/normalized/arcee_trinity,papers/merged_tex/arcee_trinity.tex,tex_source
Deepseek Math,,,deepseek_math,2026 alignment-reasoning-rl,https://arxiv.org/pdf/2402.03300.pdf,https://arxiv.org/abs/2402.03300,https://arxiv.org/e-print/2402.03300,https://arxiv.org/e-print/2402.03300,papers/normalized/deepseek_math,papers/merged_tex/deepseek_math.tex,tex_source
Deepseek R1,,,deepseek_r1,2026 alignment-reasoning-rl,https://arxiv.org/pdf/2501.12948.pdf,https://arxiv.org/abs/2501.12948,https://arxiv.org/e-print/2501.12948,https://arxiv.org/e-print/2501.12948,papers/normalized/deepseek_r1,papers/merged_tex/deepseek_r1.tex,tex_source
DPO,,,dpo,2026 alignment-reasoning-rl,https://arxiv.org/pdf/2305.18290.pdf,https://arxiv.org/abs/2305.18290,https://arxiv.org/e-print/2305.18290,https://arxiv.org/e-print/2305.18290,papers/normalized/dpo,papers/merged_tex/dpo.tex,tex_source
GLM 4 5,Z.ai,,glm_4_5_2025,2026 alignment-reasoning-rl,https://arxiv.org/abs/2508.06471,https://arxiv.org/abs/2508.06471,https://arxiv.org/e-print/2508.06471,https://arxiv.org/e-print/2508.06471,papers/normalized/glm_4_5,papers/merged_tex/glm_4_5.tex,tex_source
GLM 5,Z.ai,,glm_5_2026,2026 alignment-reasoning-rl,https://arxiv.org/abs/2602.15763,https://arxiv.org/abs/2602.15763,https://arxiv.org/e-print/2602.15763,https://arxiv.org/e-print/2602.15763,papers/normalized/glm_5,papers/merged_tex/glm_5.tex,tex_source
Hnet,,,hnet_2025,2026 alignment-reasoning-rl,https://arxiv.org/abs/2507.07955,https://arxiv.org/abs/2507.07955,https://arxiv.org/e-print/2507.07955,https://arxiv.org/e-print/2507.07955,papers/normalized/hnet,papers/merged_tex/hnet.tex,tex_source
Instruct GPT,OpenAI,,instruct_gpt,2026 alignment-reasoning-rl,https://arxiv.org/pdf/2203.02155.pdf,https://arxiv.org/abs/2203.02155,https://arxiv.org/e-print/2203.02155,https://arxiv.org/e-print/2203.02155,papers/normalized/instruct_gpt,papers/merged_tex/instruct_gpt.tex,tex_source
Kimi 1 5,,,kimi_1_5,2026 alignment-reasoning-rl,https://arxiv.org/pdf/2501.12599.pdf,https://arxiv.org/abs/2501.12599,https://arxiv.org/e-print/2501.12599,https://arxiv.org/e-print/2501.12599,papers/normalized/kimi_1_5,papers/merged_tex/kimi_1_5.tex,tex_source
Kimi K2 5,Moonshot,,kimi_k2_5_2026,2026 alignment-reasoning-rl,https://arxiv.org/abs/2602.02276,https://arxiv.org/abs/2602.02276,https://arxiv.org/e-print/2602.02276,https://arxiv.org/e-print/2602.02276,papers/normalized/kimi_k2_5,papers/merged_tex/kimi_k2_5.tex,tex_source
Ling 2,,,ling_2_2025,2026 alignment-reasoning-rl,https://arxiv.org/abs/2510.22115,https://arxiv.org/abs/2510.22115,https://arxiv.org/e-print/2510.22115,https://arxiv.org/e-print/2510.22115,papers/normalized/ling_2,papers/merged_tex/ling_2.tex,tex_source
PPO2017,,,ppo2017,2026 alignment-reasoning-rl,https://arxiv.org/pdf/1707.06347.pdf,https://arxiv.org/abs/1707.06347,https://arxiv.org/e-print/1707.06347,https://arxiv.org/e-print/1707.06347,papers/normalized/ppo2017,papers/merged_tex/ppo2017.tex,tex_source
QWEN 3 5,,,qwen_3_5_2026,2026 alignment-reasoning-rl,https://qwen.ai/blog?id=qwen3.5,,,,papers/normalized/qwen_3_5,,pdf_only
QWEN3,,,qwen3,2026 alignment-reasoning-rl,https://arxiv.org/abs/2505.09388,https://arxiv.org/abs/2505.09388,https://arxiv.org/e-print/2505.09388,https://arxiv.org/e-print/2505.09388,papers/normalized/qwen3,papers/merged_tex/qwen3.tex,tex_source
Auxfree,,,auxfree_2024,2026 architectures-attention,https://arxiv.org/abs/2408.15664,https://arxiv.org/abs/2408.15664,https://arxiv.org/e-print/2408.15664,https://arxiv.org/e-print/2408.15664,papers/normalized/auxfree,papers/merged_tex/auxfree.tex,tex_source
BAHDANAU2015 Attention,,,bahdanau2015_attention,2026 architectures-attention,https://arxiv.org/pdf/1409.0473.pdf,https://arxiv.org/abs/1409.0473,https://arxiv.org/e-print/1409.0473,https://arxiv.org/e-print/1409.0473,papers/normalized/bahdanau2015_attention,papers/merged_tex/bahdanau2015_attention.tex,tex_source
Deepseek V2,,,deepseek_v2,2026 architectures-attention,https://arxiv.org/abs/2405.04434,https://arxiv.org/abs/2405.04434,https://arxiv.org/e-print/2405.04434,https://arxiv.org/e-print/2405.04434,papers/normalized/deepseek_v2,papers/merged_tex/deepseek_v2.tex,tex_source
GQA,Google,,gqa,2026 architectures-attention,https://arxiv.org/pdf/2305.13245.pdf,https://arxiv.org/abs/2305.13245,https://arxiv.org/e-print/2305.13245,https://arxiv.org/e-print/2305.13245,papers/normalized/gqa,papers/merged_tex/gqa.tex,tex_source
Layernorm,,,layernorm_2016,2026 architectures-attention,https://arxiv.org/pdf/1607.06450.pdf,https://arxiv.org/abs/1607.06450,https://arxiv.org/e-print/1607.06450,https://arxiv.org/e-print/1607.06450,papers/normalized/layernorm,papers/merged_tex/layernorm.tex,tex_source
Linear Attention,,,linear_attention_2020,2026 architectures-attention,https://arxiv.org/abs/2006.16236,https://arxiv.org/abs/2006.16236,https://arxiv.org/e-print/2006.16236,https://arxiv.org/e-print/2006.16236,papers/normalized/linear_attention,papers/merged_tex/linear_attention.tex,tex_source
Long Short-Term Memory,,1997,lstm_1997,2026 architectures-attention,https://www.bioinf.jku.at/publications/older/2604.pdf,,,,papers/normalized/long_short_term_memory,,pdf_only
Longformer,AllenAI,,longformer,2026 architectures-attention,https://arxiv.org/pdf/2004.05150.pdf,https://arxiv.org/abs/2004.05150,https://arxiv.org/e-print/2004.05150,https://arxiv.org/e-print/2004.05150,papers/normalized/longformer,papers/merged_tex/longformer.tex,tex_source
Mamba 2,,,mamba_2_2024,2026 architectures-attention,https://arxiv.org/abs/2405.21060,https://arxiv.org/abs/2405.21060,https://arxiv.org/e-print/2405.21060,https://arxiv.org/e-print/2405.21060,papers/normalized/mamba_2,papers/merged_tex/mamba_2.tex,tex_source
Mamba 3,,,mamba_3_2026,2026 architectures-attention,https://arxiv.org/abs/2603.15569,https://arxiv.org/abs/2603.15569,https://arxiv.org/e-print/2603.15569,https://arxiv.org/e-print/2603.15569,papers/normalized/mamba_3,papers/merged_tex/mamba_3.tex,tex_source
